Name,Value,Start,Size,Color
uchar ovl_Bg_Haka_Trap[5552],,C4E9E0h,15B0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Haka_Tubo[2736],,C4FF90h,AB0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Haka_Water[2240],,C50A40h,8C0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Haka_Zou[4560],,C51300h,11D0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Heavy_Block[6672],,C524D0h,1A10h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Hidan_Curtain[3200],,C53EE0h,C80h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Hidan_Dalm[2112],,C54B60h,840h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Hidan_Firewall[2016],,C553A0h,7E0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Hidan_Fslift[1200],,C55B80h,4B0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Hidan_Fwbig[3408],,C56030h,D50h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Hidan_Hamstep[4336],,C56D80h,10F0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Hidan_Hrock[2096],,C57E70h,830h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Hidan_Kousi[1728],,C586A0h,6C0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Hidan_Kowarerukabe[4192],,C58D60h,1060h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Hidan_Rock[4480],,C59DC0h,1180h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Hidan_Rsekizou[3264],,C5AF40h,CC0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Hidan_Sekizou[5392],,C5BC00h,1510h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Hidan_Sima[4080],,C5D110h,FF0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Hidan_Syoku[1104],,C5E100h,450h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Ice_Objects[3888],,C5E550h,F30h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Ice_Shelter[4992],,C5F480h,1380h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Ice_Shutter[1120],,C60800h,460h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Ice_Turara[2080],,C60C60h,820h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Ingate[1056],,C61480h,420h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Jya_1flift[1888],,C618A0h,760h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Jya_Amishutter[1056],,C62000h,420h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Jya_Bigmirror[2752],,C62420h,AC0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Jya_Block[768],,C62EE0h,300h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Jya_Bombchuiwa[3328],,C631E0h,D00h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Jya_Bombiwa[1872],,C63EE0h,750h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Jya_Cobra[8320],,C64630h,2080h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Jya_Goroiwa[1872],,C666B0h,750h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Jya_Haheniron[2016],,C66E00h,7E0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Jya_Ironobj[3744],,C675E0h,EA0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Jya_Kanaami[1120],,C68480h,460h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Jya_Lift[1424],,C688E0h,590h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Jya_Megami[4880],,C68E70h,1310h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Jya_Zurerukabe[2096],,C6A180h,830h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Menkuri_Eye[1328],,C6A9B0h,530h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Menkuri_Kaiten[384],,C6AEE0h,180h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Menkuri_Nisekabe[336],,C6B060h,150h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Mizu_Bwall[6064],,C6B1B0h,17B0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Mizu_Movebg[4624],,C6C960h,1210h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Mizu_Shutter[2192],,C6DB70h,890h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Mizu_Uzu[464],,C6E400h,1D0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Mizu_Water[3792],,C6E5D0h,ED0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Mjin[1088],,C6F4A0h,440h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Mori_Bigst[3136],,C6F8E0h,C40h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Mori_Elevator[3424],,C70520h,D60h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Mori_Hashigo[2816],,C71280h,B00h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Mori_Hashira4[1888],,C71D80h,760h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Mori_Hineri[3696],,C724E0h,E70h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Mori_Idomizu[1920],,C73350h,780h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Mori_Kaitenkabe[1968],,C73AD0h,7B0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Mori_Rakkatenjo[3232],,C74280h,CA0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Po_Event[7824],,C74F20h,1E90h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Po_Syokudai[2608],,C76DB0h,A30h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Pushbox[880],,C777E0h,370h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Relay_Objects[1936],,C77B50h,790h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot00_Break[416],,C782E0h,1A0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot00_Hanebasi[4672],,C78480h,1240h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot01_Fusya[800],,C796C0h,320h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot01_Idohashira[3584],,C799E0h,E00h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot01_Idomizu[928],,C7A7E0h,3A0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot01_Idosoko[704],,C7AB80h,2C0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot01_Objects2[1312],,C7AE40h,520h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot02_Objects[5248],,C7B360h,1480h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot03_Taki[2448],,C7C7E0h,990h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot05_Soko[784],,C7D170h,310h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot06_Objects[5296],,C7D480h,14B0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot07_Taki[1696],,C7E930h,6A0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot08_Bakudankabe[1680],,C7EFD0h,690h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot08_Iceblock[4480],,C7F660h,1180h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot09_Obj[1696],,C807E0h,6A0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot11_Bakudankabe[1648],,C80E80h,670h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot11_Oasis[1952],,C814F0h,7A0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot12_Gate[1168],,C81C90h,490h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot12_Saku[1344],,C82120h,540h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot15_Rrbox[3824],,C82660h,EF0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot15_Saku[992],,C83550h,3E0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot16_Bombstone[6160],,C83930h,1810h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot16_Doughnut[1920],,C85140h,780h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot17_Bakudankabe[2112],,C858C0h,840h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot17_Funen[784],,C86100h,310h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot18_Basket[4208],,C86410h,1070h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot18_Futa[400],,C87480h,190h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot18_Obj[2752],,C87610h,AC0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Spot18_Shutter[1344],,C880D0h,540h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Sst_Floor[1520],,C88610h,5F0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Toki_Hikari[3904],,C88C00h,F40h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Toki_Swd[5824],,C89B40h,16C0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Treemouth[5856],,C8B200h,16E0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Umajump[384],,C8C8E0h,180h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Vb_Sima[1952],,C8CA60h,7A0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Ydan_Hasi[2112],,C8D200h,840h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Ydan_Maruta[1744],,C8DA40h,6D0h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Ydan_Sp[6160],,C8E110h,1810h,Fg: Bg:0xFFFFC4
uchar ovl_Bg_Zg[1392],,C8F920h,570h,Fg: Bg:0xFFFFC4
uchar ovl_Boss_Dodongo[39984],,C8FE90h,9C30h,Fg: Bg:0xFFFFC4
uchar ovl_Boss_Fd[30896],,C99AC0h,78B0h,Fg: Bg:0xFFFFC4
uchar ovl_Boss_Fd2[16896],,CA1370h,4200h,Fg: Bg:0xFFFFC4
uchar ovl_Boss_Ganon[142160],,CA5570h,22B50h,Fg: Bg:0xFFFFC4
uchar ovl_Boss_Ganon2[72672],,CC80C0h,11BE0h,Fg: Bg:0xFFFFC4
uchar ovl_Boss_Ganondrof[21456],,CD9CA0h,53D0h,Fg: Bg:0xFFFFC4
uchar ovl_Boss_Goma[24816],,CDF070h,60F0h,Fg: Bg:0xFFFFC4
uchar ovl_Boss_Mo[49088],,CE5160h,BFC0h,Fg: Bg:0xFFFFC4
uchar ovl_Boss_Sst[50880],,CF1120h,C6C0h,Fg: Bg:0xFFFFC4
uchar ovl_Boss_Tw[80752],,CFD7E0h,13B70h,Fg: Bg:0xFFFFC4
uchar ovl_Boss_Va[60560],,D11350h,EC90h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_6K[12672],,D1FFE0h,3180h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Du[14816],,D23160h,39E0h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Ec[15008],,D26B40h,3AA0h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Effect[25664],,D2A5E0h,6440h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Ext[2736],,D30A20h,AB0h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Geff[2800],,D314D0h,AF0h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Gj[16192],,D31FC0h,3F40h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Go[3584],,D35F00h,E00h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Gt[23696],,D36D00h,5C90h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Ik[6368],,D3C990h,18E0h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Im[17056],,D3E270h,42A0h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Kankyo[16640],,D42510h,4100h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Kekkai[5264],,D46610h,1490h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Sa[11728],,D47AA0h,2DD0h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Shd[9360],,D4A870h,2490h,Fg: Bg:0xFFFFC4
uchar ovl_Demo_Tre_Lgt[2096],,D4CD00h,830h,Fg: Bg:0xFFFFC4
uchar ovl_Door_Ana[1776],,D4D530h,6F0h,Fg: Bg:0xFFFFC4
uchar ovl_Door_Gerudo[1648],,D4DC20h,670h,Fg: Bg:0xFFFFC4
uchar ovl_Door_Killer[5712],,D4E290h,1650h,Fg: Bg:0xFFFFC4
uchar ovl_Door_Shutter[9088],,D4F8E0h,2380h,Fg: Bg:0xFFFFC4
uchar ovl_Door_Toki[352],,D51C60h,160h,Fg: Bg:0xFFFFC4
uchar ovl_Door_Warp1[17696],,D51DC0h,4520h,Fg: Bg:0xFFFFC4
uchar ovl_Efc_Erupc[3104],,D562E0h,C20h,Fg: Bg:0xFFFFC4
uchar ovl_Eff_Dust[5344],,D56F00h,14E0h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Blast[1024],,D583E0h,400h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Bomb[1184],,D587E0h,4A0h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Bomb2[2544],,D58C80h,9F0h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Bubble[1296],,D59670h,510h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_D_Fire[1360],,D59B80h,550h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Dead_Db[1344],,D5A0D0h,540h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Dead_Dd[1584],,D5A610h,630h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Dead_Ds[1312],,D5AC40h,520h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Dead_Sound[384],,D5B160h,180h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Dt_Bubble[1568],,D5B2E0h,620h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Dust[2192],,D5B900h,890h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_En_Fire[2000],,D5C190h,7D0h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_En_Ice[2448],,D5C960h,990h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Extra[1120],,D5D2F0h,460h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Fcircle[1344],,D5D750h,540h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Fhg_Flash[4320],,D5DC90h,10E0h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Fire_Tail[1936],,D5ED70h,790h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_G_Fire[640],,D5F500h,280h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_G_Magma[592],,D5F780h,250h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_G_Magma2[1472],,D5F9D0h,5C0h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_G_Ripple[1488],,D5FF90h,5D0h,Fg: Bg:0xFFFFC4
