Name,Value,Start,Size,Color
uchar Z2_DANPEI[68352],,2CEC000h,10B00h,Fg: Bg:0xFFFFC4
uchar Z2_IKANAMAE[32912],,2D59000h,8090h,Fg: Bg:0xFFFFC4
uchar Z2_DOUJOU[30000],,2D67000h,7530h,Fg: Bg:0xFFFFC4
uchar Z2_MUSICHOUSE[104448],,2D76000h,19800h,Fg: Bg:0xFFFFC4
uchar Z2_IKNINSIDE[45040],,2D9D000h,AFF0h,Fg: Bg:0xFFFFC4
uchar Z2_MAP_SHOP[28704],,2DB3000h,7020h,Fg: Bg:0xFFFFC4
uchar Z2_F40[82688],,2DC1000h,14300h,Fg: Bg:0xFFFFC4
uchar Z2_F41[80624],,2DE2000h,13AF0h,Fg: Bg:0xFFFFC4
uchar Z2_10YUKIYAMANOMURA2[28768],,2E02000h,7060h,Fg: Bg:0xFFFFC4
uchar Z2_14YUKIDAMANOMITI[23792],,2E2B000h,5CF0h,Fg: Bg:0xFFFFC4
uchar Z2_12HAKUGINMAE[30048],,2E36000h,7560h,Fg: Bg:0xFFFFC4
uchar Z2_17SETUGEN[39856],,2E46000h,9BB0h,Fg: Bg:0xFFFFC4
uchar Z2_17SETUGEN2[35536],,2E58000h,8AD0h,Fg: Bg:0xFFFFC4
uchar Z2_SEA_BS[21232],,2E69000h,52F0h,Fg: Bg:0xFFFFC4
uchar Z2_RANDOM[45280],,2E75000h,B0E0h,Fg: Bg:0xFFFFC4
uchar Z2_YADOYA[62112],,2EA6000h,F2A0h,Fg: Bg:0xFFFFC4
uchar Z2_KONPEKI_ENT[29216],,2EEC000h,7220h,Fg: Bg:0xFFFFC4
uchar Z2_INSIDETOWER[32128],,2EFB000h,7D80h,Fg: Bg:0xFFFFC4
uchar Z2_26SARUNOMORI[50400],,2F14000h,C4E0h,Fg: Bg:0xFFFFC4
uchar Z2_LOST_WOODS[63968],,2F44000h,F9E0h,Fg: Bg:0xFFFFC4
uchar Z2_LAST_LINK[29456],,2F69000h,7310h,Fg: Bg:0xFFFFC4
uchar Z2_SOUGEN[45008],,2F87000h,AFD0h,Fg: Bg:0xFFFFC4
uchar Z2_BOMYA[51568],,2F9A000h,C970h,Fg: Bg:0xFFFFC4
uchar Z2_KYOJINNOMA[60848],,2FAF000h,EDB0h,Fg: Bg:0xFFFFC4
uchar Z2_KOEPONARACE[42128],,2FC0000h,A490h,Fg: Bg:0xFFFFC4
uchar Z2_GORONRACE[63120],,2FD4000h,F690h,Fg: Bg:0xFFFFC4
uchar Z2_TOWN[124784],,2FF2000h,1E770h,Fg: Bg:0xFFFFC4
uchar Z2_ICHIBA[89664],,3029000h,15E40h,Fg: Bg:0xFFFFC4
uchar Z2_BACKTOWN[69344],,304A000h,10EE0h,Fg: Bg:0xFFFFC4
uchar Z2_CLOCKTOWER[140896],,3066000h,22660h,Fg: Bg:0xFFFFC4
uchar Z2_ALLEY[55392],,309D000h,D860h,Fg: Bg:0xFFFFC4
uchar SPOT00[51024],,30B4000h,C750h,Fg: Bg:0xFFFFC4
uchar KAKUSIANA[64720],,30C2000h,FCD0h,Fg: Bg:0xFFFFC4
uchar TEST01[19904],,3107000h,4DC0h,Fg: Bg:0xFFFFC4
